original_text,clean_text,Risk
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
repairs,repairs,bad
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
car,car,good
car,car,bad
car,car,good
car,car,good
car,car,bad
domestic appliances,domestic appliances,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
car,car,good
furniture/equipment,furnitureequipment,good
education,education,good
business,business,good
car,car,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
business,business,good
car,car,good
radio/TV,radiotv,bad
education,education,bad
car,car,bad
education,education,good
radio/TV,radiotv,bad
furniture/equipment,furnitureequipment,bad
car,car,good
radio/TV,radiotv,good
business,business,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
car,car,good
car,car,bad
radio/TV,radiotv,good
car,car,good
car,car,good
car,car,good
radio/TV,radiotv,good
business,business,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,bad
car,car,bad
car,car,good
car,car,bad
radio/TV,radiotv,good
car,car,good
car,car,bad
car,car,good
business,business,good
radio/TV,radiotv,good
car,car,good
car,car,good
car,car,good
furniture/equipment,furnitureequipment,bad
car,car,good
radio/TV,radiotv,good
repairs,repairs,good
radio/TV,radiotv,bad
furniture/equipment,furnitureequipment,bad
car,car,good
radio/TV,radiotv,good
car,car,good
education,education,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,good
education,education,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
education,education,bad
car,car,good
furniture/equipment,furnitureequipment,good
car,car,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,bad
car,car,good
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,bad
car,car,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,good
repairs,repairs,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,good
education,education,good
radio/TV,radiotv,bad
car,car,bad
car,car,bad
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,bad
car,car,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
car,car,bad
business,business,good
radio/TV,radiotv,good
car,car,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
car,car,good
business,business,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
education,education,good
car,car,bad
education,education,good
car,car,bad
car,car,good
furniture/equipment,furnitureequipment,good
repairs,repairs,bad
car,car,good
furniture/equipment,furnitureequipment,bad
car,car,good
furniture/equipment,furnitureequipment,good
domestic appliances,domestic appliances,bad
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
car,car,good
business,business,good
car,car,bad
vacation/others,vacationothers,bad
car,car,bad
car,car,bad
business,business,bad
car,car,bad
business,business,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
education,education,bad
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
business,business,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
car,car,good
domestic appliances,domestic appliances,bad
car,car,bad
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,bad
business,business,good
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,bad
car,car,good
business,business,good
car,car,bad
business,business,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
car,car,bad
furniture/equipment,furnitureequipment,good
education,education,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
car,car,bad
education,education,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
education,education,bad
repairs,repairs,good
education,education,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
business,business,bad
furniture/equipment,furnitureequipment,good
car,car,bad
car,car,bad
education,education,bad
education,education,good
furniture/equipment,furnitureequipment,bad
car,car,bad
car,car,bad
car,car,good
car,car,good
car,car,bad
radio/TV,radiotv,good
business,business,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,bad
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
education,education,good
vacation/others,vacationothers,good
furniture/equipment,furnitureequipment,good
business,business,good
car,car,bad
radio/TV,radiotv,good
business,business,good
business,business,good
car,car,good
car,car,good
business,business,bad
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
education,education,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
business,business,good
car,car,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,good
repairs,repairs,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
education,education,good
furniture/equipment,furnitureequipment,bad
car,car,bad
radio/TV,radiotv,good
business,business,good
business,business,good
car,car,good
car,car,bad
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
education,education,bad
car,car,good
radio/TV,radiotv,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,bad
education,education,bad
car,car,bad
radio/TV,radiotv,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
business,business,bad
business,business,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
car,car,good
car,car,good
domestic appliances,domestic appliances,good
car,car,bad
car,car,good
car,car,good
business,business,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
business,business,good
car,car,good
car,car,bad
car,car,good
car,car,good
furniture/equipment,furnitureequipment,good
car,car,bad
business,business,good
radio/TV,radiotv,good
repairs,repairs,bad
car,car,bad
car,car,good
radio/TV,radiotv,bad
car,car,good
car,car,bad
car,car,good
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
car,car,bad
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
car,car,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,good
education,education,bad
car,car,good
radio/TV,radiotv,good
car,car,good
car,car,bad
car,car,good
radio/TV,radiotv,good
car,car,good
repairs,repairs,good
radio/TV,radiotv,bad
car,car,good
education,education,good
car,car,bad
car,car,good
business,business,good
radio/TV,radiotv,good
car,car,good
education,education,bad
education,education,bad
business,business,bad
car,car,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
car,car,bad
furniture/equipment,furnitureequipment,good
car,car,good
car,car,good
education,education,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,good
car,car,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,good
car,car,bad
business,business,good
radio/TV,radiotv,good
car,car,bad
domestic appliances,domestic appliances,bad
car,car,bad
car,car,good
domestic appliances,domestic appliances,good
radio/TV,radiotv,good
vacation/others,vacationothers,good
radio/TV,radiotv,bad
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
car,car,good
furniture/equipment,furnitureequipment,good
car,car,good
car,car,bad
business,business,bad
car,car,bad
business,business,good
business,business,good
car,car,bad
business,business,bad
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,bad
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
car,car,good
repairs,repairs,bad
business,business,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
car,car,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,bad
car,car,good
radio/TV,radiotv,good
car,car,bad
car,car,good
car,car,good
education,education,good
furniture/equipment,furnitureequipment,good
car,car,bad
car,car,good
car,car,good
business,business,bad
radio/TV,radiotv,bad
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
business,business,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
car,car,good
business,business,good
domestic appliances,domestic appliances,good
furniture/equipment,furnitureequipment,good
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,bad
radio/TV,radiotv,good
car,car,good
car,car,good
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
education,education,bad
business,business,good
business,business,bad
car,car,good
car,car,good
business,business,good
radio/TV,radiotv,good
car,car,good
car,car,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,bad
car,car,bad
car,car,good
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,good
education,education,good
car,car,good
car,car,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,good
business,business,good
business,business,bad
vacation/others,vacationothers,bad
car,car,good
car,car,bad
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,good
furniture/equipment,furnitureequipment,bad
car,car,bad
furniture/equipment,furnitureequipment,good
car,car,bad
radio/TV,radiotv,good
car,car,good
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
radio/TV,radiotv,bad
radio/TV,radiotv,good
education,education,bad
car,car,good
car,car,good
car,car,good
furniture/equipment,furnitureequipment,good
car,car,good
furniture/equipment,furnitureequipment,good
car,car,good
furniture/equipment,furnitureequipment,bad
car,car,good
furniture/equipment,furnitureequipment,bad
radio/TV,radiotv,bad
business,business,good
business,business,bad
car,car,bad
furniture/equipment,furnitureequipment,bad
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,bad
furniture/equipment,furnitureequipment,good
radio/TV,radiotv,good
car,car,good
car,car,good
radio/TV,radiotv,bad
repairs,repairs,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
car,car,good
repairs,repairs,good
car,car,good
car,car,bad
business,business,bad
radio/TV,radiotv,good
radio/TV,radiotv,good
radio/TV,radiotv,good
business,business,good
car,car,bad
car,car,bad
furniture/equipment,furnitureequipment,bad
business,business,bad
car,car,good
car,car,bad
furniture/equipment,furnitureequipment,good
furniture/equipment,furnitureequipment,good
business,business,good
radio/TV,radiotv,good
car,car,good
radio/TV,radiotv,good
education,education,good
radio/TV,radiotv,good
radio/TV,radiotv,good
furniture/equipment,furnitureequipment,good
car,car,good
furniture/equipment,furnitureequipment,good
car,car,good
radio/TV,radiotv,good
radio/TV,radiotv,bad
car,car,good
